benchmark_name,query_name,query_type,execution_time,run_timestamp,git_revision,git_revision_timestamp,num_cores
clickbench_partitioned,q0,table_creation,0.119,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q0,query,0.11,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q0,query,0.003,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q0,query,0.002,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q0,query,0.003,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q0,query,0.003,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q1,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q1,query,0.112,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q1,query,0.036,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q1,query,0.034,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q1,query,0.034,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q1,query,0.035,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q2,table_creation,0.039,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q2,query,0.141,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q2,query,0.084,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q2,query,0.083,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q2,query,0.08,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q2,query,0.083,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q3,table_creation,0.041,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q3,query,0.152,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q3,query,0.102,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q3,query,0.101,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q3,query,0.103,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q3,query,0.105,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q4,table_creation,0.042,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q4,query,0.701,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q4,query,0.615,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q4,query,0.632,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q4,query,0.634,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q4,query,0.618,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q5,table_creation,0.041,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q5,query,0.958,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q5,query,0.872,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q5,query,0.88,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q5,query,0.863,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q5,query,0.849,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q6,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q6,query,0.051,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q6,query,0.003,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q6,query,0.002,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q6,query,0.003,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q6,query,0.003,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q7,table_creation,0.041,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q7,query,0.091,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q7,query,0.036,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q7,query,0.037,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q7,query,0.038,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q7,query,0.037,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q8,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q8,query,0.899,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q8,query,0.852,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q8,query,0.824,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q8,query,0.824,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q8,query,0.841,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q9,table_creation,0.041,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q9,query,1.313,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q9,query,1.251,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q9,query,1.262,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q9,query,1.239,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q9,query,1.185,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q10,table_creation,0.041,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q10,query,0.329,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q10,query,0.258,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q10,query,0.266,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q10,query,0.26,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q10,query,0.255,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q11,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q11,query,0.34,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q11,query,0.286,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q11,query,0.28,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q11,query,0.291,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q11,query,0.287,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q12,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q12,query,0.945,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q12,query,0.862,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q12,query,0.875,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q12,query,0.877,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q12,query,0.876,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q13,table_creation,0.041,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q13,query,1.354,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q13,query,1.286,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q13,query,1.328,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q13,query,1.293,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q13,query,1.298,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q14,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q14,query,0.866,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q14,query,0.779,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q14,query,0.806,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q14,query,0.771,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q14,query,0.816,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q15,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q15,query,0.747,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q15,query,0.699,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q15,query,0.685,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q15,query,0.702,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q15,query,0.699,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
clickbench_partitioned,q16,table_creation,0.04,2025-07-01 11:32:45,79146242b,2025-06-20T11:00:02-04:00,16
