benchmark_name,query_name,query_type,execution_time,run_timestamp,git_revision,git_revision_timestamp,num_cores
clickbench_partitioned,q0,table_creation,0.049,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q0,query,0.033,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q0,query,0.003,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q0,query,0.002,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q0,query,0.002,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q0,query,0.002,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q1,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q1,query,0.083,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q1,query,0.051,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q1,query,0.052,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q1,query,0.05,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q1,query,0.051,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q2,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q2,query,0.173,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q2,query,0.138,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q2,query,0.136,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q2,query,0.142,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q2,query,0.134,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q3,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q3,query,0.6,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q3,query,0.156,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q3,query,0.157,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q3,query,0.158,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q3,query,0.155,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q4,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q4,query,1.294,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q4,query,1.199,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q4,query,1.118,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q4,query,1.085,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q4,query,1.081,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q5,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q5,query,2.19,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q5,query,1.591,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q5,query,1.504,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q5,query,1.544,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q5,query,1.489,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q6,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q6,query,0.032,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q6,query,0.003,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q6,query,0.003,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q6,query,0.003,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q6,query,0.002,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q7,table_creation,0.048,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q7,query,0.087,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q7,query,0.054,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q7,query,0.052,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
clickbench_partitioned,q7,query,0.053,2026-03-30 13:52:55,50.0.0,2025-09-13T16:17:34+08:00,8
